id,question,answer
21,نحو کا اجراء کیسے کریں,*نحوی اجراء کرنے کا طریقہ* \n\n*از قلم: ابو المتبسِّم ایاز* \n\n1۔ کلمہ اسم ہے یا فعل یا حرف ؟\n2۔ اگر اسم ہے تو معرب ہے یا مبنی؟\n3۔ اگر مبنی ہے تو مبنی الاصل یا مشابہ مبنی الاصل ؟\n4۔ مبنی الاصل ہے تو کونسی قسم ؟ مشابہ مبنی الاصل ہے تو کونسی قسم؟\nاس کا اعراب کیا ہے؟\n5۔ اگر معرب ہے تو پھر بتائیے واحد ، تثنیہ یا جمع ہے ؟\n6۔ جمع ہے تو کونسی قسم ؟\nسالم ، مکسر ، قلت یا کثرت ؟\n7۔ مذکر ہے یا مئونث ؟\n8۔ اگر مؤنث ہے تو مؤنث کی کونسی قسم ہے ؟\n9- معرفہ ہے یا نکرہ ؟\n10- اگر معرفہ ہے تو معرفہ کی اقسام میں سے کونسی قسم ہے؟\n11۔ منصرف ہے یا غیر منصرف ؟\n12۔ اگر غیر منصرف ہے تو دو اسباب کونسے ہیں ؟\n13۔ اگر معرب ہے تو وجوہ اعراب میں سے کونسی قسم ہے ؟\n13۔ مرفوعات ، منصوبات ، مجرورات میں سے کیا ہے ؟\n14۔ یہ کلمہ عامل ہے یا معمول ؟\n15۔ اگر عامل ہے تو عامل کی کونسی قسم ہے ؟\n16۔ لفظی ہے تقدیری ؟\n17۔ لفظی ہے تو بالحرکت یا بالحرف ہے ؟\nاور اگر تقدیری ہے تو بالحرکت یا بالحرف ؟\n18۔ اعراب اصلی ہے یا تبعی؟\n19۔ اگر یہ کلمہ حرف ہے تو معانی ہے یا مبانی ؟\n20۔ معانی ہے تو حروف عاملہ و غیر عاملہ میں سے کیا ہے ؟\n21۔ اگر عاملہ میں سے ہے تو عاملہ افعال میں سے ہے یا عاملہ اسماء میں سے ؟\n21۔ اگر غیر عاملہ میں سے ہے تو حروف معانی میں سے کون سی قسم میں سے ہے ؟
22,علم نحو کو نحو کیوں کہتے ہیں ؟,نحو کا ایک معنی طریقہ اور مثل ہے، چونکہ اس علم کو جاننے والا عرب کے طریقے پر اور ان ہی کی مثل کلام کرتا ہے اس لیے اس علم کو نحو کہتے ہیں۔
23,ماذا ترکیب میں کیا بنتا ہے,اس کی مختلف اقسام ہیں. اور ہر قسم کے اعتبار سے یہ مختلف بنتا ہے.
24,اسم کی تعریف بتائیں,جو لفظ اپنا معنیٰ خود ظاہر کرے\nجیسے: زَیْدٌ
25,آج کا سوال حروف اصلیہ کتنےہیں,حروف زائدہ دس ہیں جن کا مجموعه  سألتمونيها اليوم يا اليوم تنساه ہے یعنی  جو زائد  حروف ہوں گے وہ ہمیشہ انہی حروف میں سے ہوں گے۔ اسکے علاوہ حروف اصلیه ہوتے ہیں\n
26,لیجلہ کونسا صیغہ ہے,صیغہ سمجھ نہیں آرہا ہے. اگر صیغہ پوچھیں تو اعراب کے ساتھ پوچھیں یا عبارت سینڈ کریں
27,کلمات ثلاثہ سے کیا مراد ہے؟؟,کلمات ثلاثہ سے مراد اسم ، فعل اور حرف ہے۔
28,الاسم کو اسم کہنے کی وجہ\n,کیونکہ اس پر الف لام ہے اسلئے یہ اسم ہے
29,اَآنتُمْ کی صرفی تحقیق,جمع مذکر حاضر ،
30,غیر منصرف کو منصرف پڑھنا کب جائز ہے \n,غیر منصرف پر جب الف لام داخل ہوجائے یا مضاف ہو جائے تو اسے منصرف پڑھنا جائز ہے۔
31,ر کونسا صیغہ ہے,فعل امر ، صیغہ واحد \nاصل میں اِرْءَیْ\nہمزہ کی حرکت ماقبل کو دے کر پھر ہمزہ کو حذف کردیا شروع میں ہمزہ وصلی کی ضرورت نہ رہی تو ہمزہ وصلی گرگیا۔ اور امر کی وجہ سے آخر سے حرف علت گرگیا تو رَ ہوگیا۔
32,وعد کی اصل کیا ہے,وَعَدَ اصل صیغہ ہے اور یہ ضرب یضرب باب سے ہے\n
33,یوعد کی صرف صغىر کیا ہے,"باب ضرب یضرب از مثال \n\nوَعَدَ يَعِدُ. وَعْداً، فَهُوَ وَاعِدٌ، وَوُعِدَ يُوعَدُ، وَعْداً. فَذَاكَ مَوْعُودٌ لَمْ يَعِدُ لَمْ يُوْعَدُ. لَا يَعِدُ لَا يُوْعَدُ. لَنْ يَعِدَ لَنْ يُوْعَدَ لَيَعِدَنَّ لَيُوْعَدَنَ لَيَعِدَن لَيُوْعَدَنْ.\n\nوَالْأَمْرُ مِنْهُ : عِدْ لِتُوْعَدْ لِيَعِدُ لِيُوْعَدُ. \nوَالنَّهْي عَنْهُ : لَا تَعِدْ لَا تُوْعَدْ لَا يَعِدُ لَا يُوْعَدُ. وَالطَّرْفُ مِنْهُ : مَوْعِدُ مَوْعِدَانِ مَوَاعِدُ. وَمُوَيُعِدُ.\n\nوَالْآلَهُ مِنْهُ : مِيعَدٌ مِيْعَدَانِ مَوَاعِدُ. وَمُوَيُعِدٌ. مِيْعَدَةٌ مِبْعَدَتَانِ مَوَاعِدُ. وَمُوَ يُعِدَةٌ مِيْعَادٌ. مِيْعَادَانِ مَوَاعِيْدُ مُوَ يُعِيدُ، وَهُوَ يُعِيدَةٌ.\n\nأَفْعَلُ التَّفْضِيْلِ الْمُذَكَّرُ مِنْهُ: أَوْعَدُ. أَوْعَدَانِ أَوْعَدُونَ، أَوَاعِدُ. وَأُوَ يُعِدُ.\n\nوَالْمُؤنَّثُ مِنْهُ : وَعْدَى وَعْدَيَانِ وَعْدَيَاتٌ وَعَدَّ. وَوعَيْدي.\n\nوَ فِعْلُ التَّعَجبِ مِنْهُ : مَا أَوْعَدَةَ، وَأَوْعِدُ بِهِ, وَوَعْدَ"
34,توھم کی صرفی تحقیق \n,تَوَه‍َّمَ صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مزید فیہ  از باب تَفَعُّلٌ مثال
35,اعادہ کی صرفی تحقیق\n,مصدر ہے ثلاثی مزید فیہ اجوف از باب افعال
36,یستحسرون کون باب سے ہے \n,باب استفعال
37,صرف مضبوط کرنے کا طریقہ,http://islamicdesk.com/feed/Seeghon-ki-pehchaan-ka-tareeqa \n                    https://play.google.com/store/apps/details?id=com.sarfkidunya
38,ضربت کیسے بنا,فعل ماضی معروف سے بنا۔
39,سب سے اھم علوم,
40,یصیر کے حروف اصلی کیا ہیں؟\n,ص ، و ، ر
41,افعال خماسی کیوں نہیں ہوتے؟,کیونکہ صرف اسم جامد ہی خماسی ہوتا ہے
42,Masdar ki pehchan kese kare kai hai konse bab ka masdar hai,مجرد کے مصادر سماعی ہیں. اِس کے باب کی پہنچان لغت سے کریں گے. اور مزید فیہ کے مصادر قیاسی ہیں۔
43,نادينه كونسا صيغه هي,اگر یہ کسی کا نام ہے تو یہ جامد کا صیغہ ہے
44,حروف مستثنٰی کا مابعد کب مرفوع ہوتا ہے,مستثنی غیر مفرغ کلام غیر موجب میں الا کے بعد ہو تو منصوب اور عامل\n\nکے مطابق دونوں طرح آسکتا ہے: مَا جَاءَ الْقَوْمُ إِلَّا خَالِدًا يَا إِلَّا خَالِدٌ.
45,قتل کس بابسے ہے,قتل باب نصر ینصر سے ہے۔
46,قرآن پاک کی 10 پاروں تک تعلیل موجود ہے باقی کب تک ہو جائیں گی پلیز بتا دیجئے؟,ان شاء اللّٰه عزوجل \nبہت جلد
47,صرف کا معنی کیا ہے ؟,صرف کا معنی پھیرنا ہے یعنی ایک صیغہ کو دوسرے صیغہ کی طرف پھیرنا
48,حروف تفصلیہ کتنے ہیں اور کون کون سے ہیں؟\n,رموز اوقاف میں تفصلیہ کی علامات موجود ہیں. باقی حروف کا علم نہیں
49,بلعت کون سے باب سے ہے اس کی صرف صغیر بھی بتا دیجئے,یہ فَتَحَ سے ہے. فَتَحَ کی گردان کے مطابق اِس کی صرف صغیر بنا لیں.
50,ھبت کون سا باب ہے\n,ھ ، ب ، ب\nیہ مضاعف ہے اور ازباب: نَصَرَ یَنْصُرُ
51,لَا رَیْبَ میں ریب کی اصل کیا ہے,ریب اصل پہ ہے اور یہ مصدر ہے
52,صریح کی صرفی تحقیق کیا ہے؟,باب تفعیل کا مصدر
53,قرآن مجید کے ترجمے میں نے پڑھا کہ قالو کے معنے وہ لوگ بولیں گے لکھا ہے۔  حالانکہ اس کا لفظی ترجمہ وہ لوگ بولیں بنتا ہے,ترجمہ کے بہت سارے طریقے ہیں. ایک طریقہ نہیں ہے
54,اسماۓ ستہ مکبرہ کیا ہے\n,1) ابوک\n2) اخوک \n3) حموک \n4) ھنوک \n5) فوک \n6) ذو مال \n
55,انفطرا کونسے باب سے ہے\n,صیغہ وا مذکر غائب فعل ماضی مثبت معروف ثلاثی مزید فی از باب انفعال مصدر انفعال
56,بالغیب کی صرفی تحقیق \nمکمل کر دیں,مصدر ، ثلاثی مجرد سے \n
57,السلام علیکم \nصیغہ صفت تو مضاف ہونے کے باوجود بھی تعریف حاصل نہیں کرتا (نکرہ ہی رہتا ہے)\nتو پھر الحمدللہ فاطر السموات میں فاطر کیوں مجرور ہے؟ اگر لفظِ جلالہ کی صفت کہیں گے تو لفظِ جلالہ معرفہ ہے اور فاطر السموات مذکورہ قاعدہ مطابق نکرہ ہے,لفظ اسم جلالت کے لئے صفت بنے گا۔
58,قعید کونسا صیضہ ہے,صفت مشبہ
59,اسلام علیکم و رحمتہ اللّٰہ وبرکاتہ\n تراکیبیں اور صرفی تحقیق کا کوئی طریقہ کوئی فارمولا بتائیے کہ ہم عبارت دیکھتے ہی پہچان لیں \nبرائے مدینہ۔۔۔۔۔\n,آسان جواب یہ ہے کہ صرف و نحو کے اہم قواعد آپ کو یاد ہوں
60,ضرب صیغہ کون سا ہے,ضَرَبَ صیغہ واحد مذکر غائب صحیح از باب ضَرَبَ یَضْرِبُ
61,کلمہ کا وزن کرنے کامکمل طریقہ\n\n\n\n\n\n\n\n\n,کسی کلمہ کے حروف اصلیہ و زائدہ کی پہچان کا طریقہ\n     اس کی پہچان کے لیے سب سے پہلے اس کلمہ کا وزن معلوم کرنا ضروری ہے۔ صرفیوں نے کلمہ کا وزن کرنے کے لئے بطور میزان تین حروف کا انتخاب کیا ہے ف ع اورل، لہذا ہر کلمہ کے وزن میں ہمیشہ ف يا ع اور ایک یا دو یا تین ل ضرور ہوں گے۔ وزن معلوم کرنے کے بعد جو حروف ف، ع اور ایک یا دو یا تین لام کی جگہ پر واقع ہوں گے وہ حروف اصلیہ اور جو ان کے علاوہ ہوں گے وہ حروف ز ائدہ کہلائیں گے\nموزون میں جوصرف وزن کے فاء کے مقابلے میں آئے اسے فاء کلمہ، جو عین  کے مقابلے میں آئے اسے عیں کلمہ اور جو لام کے مقابلے میں آئے اسے لام کلمہ کہا جاتا ہے۔\n      \n
62,یَج٘تَنِبَ گردان \n,ہماری ایپ میں گردان شامل ہے آپ گردان کے سیکشن میں جا کر دیکھ سکتے ہیں۔
63,قیل کون سا صیغہ ہے,صیغہ واحد مذکر غائب فعل ماضی مجہول
64,مصدر کی تعریف ؟,مصدر\n    وہ اسم جس سے دوسرے کلمات مشتق (بنتے) ہوں اور وہ خود کسی سے مشتق نہ ہو اور اس کے اردو ترجمہ میں اکثر نا آتا ہے
65,ہمیں کیسے پتہ چلے کہ اس کلمے میں تعلیل ہوئی ہے,اگر وزن پہ پورا ہے تو اصل اور اگر وزن پہ پورا نہیں ہے تو معلّل
66,منصرف کی کیا تعریف ہے؟,.جس اسم معرب کے آخر میں تنوین اور کسرہ نہیں آتے اسے غیر منصرف کہتے ہیں
67,لم حرف جازم  فعل مضارع پر داخل ہو کر ماضی کا معنی کیوں دیتا ہے \n,کیونکہ لم مضارع کو ماضی منفی کے معنی میں کر دیتا ہے۔
68,عصا کی تعلیل,عَصَیَ ، یاء متحرک ماقبل مفتوح ہونے کی وجہ سے یاء کو الف سے بدلہ تو عَصَا ہوگیا
69,حال اور تمیز میں فرق,حال میں فاعل یا مفعول کی حالت بیان ہوتی ہے جبکہ تمییر میں ممیز سے ابھام/پوشیدگی دور ہوتی ہے۔
70,",,مغفرۃ,, کون سا صیغہ ہے \n تفصیل سے بتائیں ",مصدر ہے۔
71,ترکیب نحوی کرنے کا آسان طریقہ کیا ہے؟\n\n,. *🌹 ترکیبوں کی کمزوری کیسے دُور ہو ؟* \n\n*✍️ ابو المتبسِّم عطاری* \n\n👈 علم النحو کی ایک شاخ ترکیب بھی ہے۔ اور یہ ایک نہایت پیچیدہ عمل ہے۔ اگر کوئ ترکیبوں میں کمزور ہے تو عبارت کا سمجھنا اُس کے لئے مشکل ہو جاتا ہے۔ اور طالب علم تعیین نہیں کر پاتا کہ یہ کلمہ اِس مقام پر کیا بن رہا ہے۔\n\n👈 پھر ایسا طالب علم کچھ عرصہ کے بعد احساسِ کمتری ، مایوسی کا شکار ہوجاتا ہے۔ حالانکہ اگر یہ طالب علم فقط کچھ عرصے کے لئے صحیح انداز سے ترکیبوں پر محنت کرتا تو اس کے لئے ترکیبیں کرنا آسان ہوجاتیں۔\n\n👈 اگر کوئ طالب علم ترکیبوں میں عُبور حاصل کرنا چاہ رہا ہے۔\nتو ان ”6” باتوں پر عمل کر لیں۔\nان شاء اللّٰه عزوجل آپ کی ترکیبوں کی کمزوری دُور ہوجائے گی:\n\n1️⃣ صرف و نحو کے قواعد کا سمجھ لینا اور یاد ہونا بے حد ضروری ہے۔\n\n2️⃣ صیغوں کی صرفی تحقیق مع تعلیل کے آنا ضروری ہے۔\n\n3️⃣ اس کے بعد کسی کتاب کے ابتدائ 3 یا 4 لفظوں پر آپ خود اعراب لگائیں جو اعراب دیا اس کی وجہ بھی آنی چاہیے۔\n\n4️⃣ پھر کسی کے ساتھ اُسی تیار شُدہ عبارت کی تکرار کر لیں۔\n\n5️⃣ مستقل مزاجی کے ساتھ عمل کریں۔ ابتداءً 3 لفظوں پر ، پھر 5 پر *وعلی ھذا القیاس* کرتے کرتے ایک دن ایسا آئے گا کہ آپ ترکیبوں میں مضبوط ہوجائیں گے۔\n\n6️⃣ عند اللّٰه دُعا اور سرکار (صلی اللّٰه علیه وسلم) پر درودِ پاک پڑھتے رہنا۔
72,وقب کی صرفی تحقیق\n\n\n,صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مجرد صحیح از باب ضرب يضرب
73,زُرْنی کی صرفی تحقیق,صیغہ واحد مذکر حاضر فعل امر حاضر معروف اجوف ثلاثی مجرد از باب نصر ینصر \nنی ضمیر منصوب متصل
74,ابواب کیسےپہچا نے؟؟ \n\n,ابواب کی علامات کا یاد ہونا ضروری ہے. پھر اِن علامات کے ذریعے ابواب کی پہنچان کرلیں
75,نحو کی تعریف,کلماتِ ثلاثہ کا اعراب اور اِن کا تعلق معلوم ہو۔
76,امنوا,صیغہ جمع مذکر حاضر
77,ٔایلف میں کیا تعلیل ہوئ ہے,*اِئْلِفْ* ہمزہ ساکن ماقبل مکسور ہونے کی وجہ سے ہمزہ کو یاء سے بدل لیا۔ (یاد رکھیں اِس میں تخفیف ہوئ ہے آپ اِس کو مخَفف کہیں گے)
78,السلام علیکم ورحمتہ اللہ وبرکاتہ ومغفرتہ \nالسوال الاول: مطمئنہ کون صیغہ ہے اور معنی کیا ہے مع تفصیل تحریر کرو؟,رباعی مزید فیہ سے واحد مؤنث کا صیغہ \nمطلب: اطمینان ، قرار ، سکون
79,حجت کون صیغہ ہے ؟\n,جامد ہے
80,اسم کی صرفی تحقیق ہو سکتی ہے کیا\n,بالکل اسمِ مشتق کی بھی صرفی ہوسکتی ہے اور اسمِ جامد کی بھی
81,حفدۃ کا اعراب بتا دیں,حَفْدَةٌ
82,مرفوعات کتنے ہیں ؟,مرفوعات آٹھ ہے
83,ھمزہ وصلیہ کی تعریف,وہ ہمزہ زائدہ جو وصل کلام( یعنی ملا کر پڑھنے کی صورت) میں گر جائے۔\n
84,معمول کی تعریف,جس پہ عامل عمل کرے اُسے معمول کہتے ہیں۔
85,مات کی تعلیل,مَاتَ اصل میں مَوَتَ تھا۔\nاس میں اجوف کا پہلا قانون جاری ہوا یعنی واؤ متحرک ماقبل مفتوح ہونے کی وجہ سے واؤ کو الف سے بدلہ تو مَاتَ ہوگیا۔
86,معرب کی کیا تعریف ہے؟,جس اسم کا آخر عامل کی وجہ سے بدل جائے اسے معرب یا اسم متمکن کہتے ہیں
87,لبیک کی اصل کیا ہے ؟,*لبیک کی اصل:* \nأُلِبُّ لَكَ إِلْباَبَيْنِ ہے أُلِبُّ فعل کو بطور قیاس وجوباً حذف کردیا باقی رہا لَكَ إِلْباَبَيْنِ پھر اس کے بعد لَكَ کے لام کو حذف کر دیا تو رہ گیا كَ إِلْباَبَيْنِ پھر إِلْباَبَيْنِ کو مزید فیہ سے مجرد کر دیا تو ہو گیا کَ لَبِیِّنِ پھر اِس کے بعد كَ ضمیر کو آخر میں لگا دیا تو ہو گیا لبینک پھر نون تثنیہ اضافت کی وجہ سے ساقط ہو گیا تو *لبّیک* رہ گیا
88,عم یتساءلون کونسا صیغہ ہے\n\n\n\n\n\n,جمع مذکر غائب ، ازباب تَفَاعُل
89,علم الصرف کی تعریف کرین,علمِ صرف\n    ایسے اصول و ضوابط جن کے ذریعے ایک کلمہ سے دوسرا کلمہ بنانے اور اس میں تبدیلی کرنے کا طریقہ معلوم ہو۔
90,کیا دو فاعل ایک ساتھ آسکتے ہیں ؟,جی آسکتے ہیں
91,يرى کی تعلیل\n,یَرْءَیُ\nہمزہ کی حرکت ماقبل کو دے کر ہمزہ کو گرا دیا
92,اقصی صیغہ کی صرفی تحقیق\n\n,جامد کا صیغہ ہے
93,نحو کے اجراء کا طریقہ,*نحوی اجراء کرنے کا طریقہ* \n\n*از قلم: ابو المتبسِّم ایاز* \n\n1۔ کلمہ اسم ہے یا فعل یا حرف ؟\n2۔ اگر اسم ہے تو معرب ہے یا مبنی؟\n3۔ اگر مبنی ہے تو مبنی الاصل یا مشابہ مبنی الاصل ؟\n4۔ مبنی الاصل ہے تو کونسی قسم ؟ مشابہ مبنی الاصل ہے تو کونسی قسم؟\nاس کا اعراب کیا ہے؟\n5۔ اگر معرب ہے تو پھر بتائیے واحد ، تثنیہ یا جمع ہے ؟\n6۔ جمع ہے تو کونسی قسم ؟\nسالم ، مکسر ، قلت یا کثرت ؟\n7۔ مذکر ہے یا مئونث ؟\n8۔ اگر مؤنث ہے تو مؤنث کی کونسی قسم ہے ؟\n9- معرفہ ہے یا نکرہ ؟\n10- اگر معرفہ ہے تو معرفہ کی اقسام میں سے کونسی قسم ہے؟\n11۔ منصرف ہے یا غیر منصرف ؟\n12۔ اگر غیر منصرف ہے تو دو اسباب کونسے ہیں ؟\n13۔ اگر معرب ہے تو وجوہ اعراب میں سے کونسی قسم ہے ؟\n13۔ مرفوعات ، منصوبات ، مجرورات میں سے کیا ہے ؟\n14۔ یہ کلمہ عامل ہے یا معمول ؟\n15۔ اگر عامل ہے تو عامل کی کونسی قسم ہے ؟\n16۔ لفظی ہے تقدیری ؟\n17۔ لفظی ہے تو بالحرکت یا بالحرف ہے ؟\nاور اگر تقدیری ہے تو بالحرکت یا بالحرف ؟\n18۔ اعراب اصلی ہے یا تبعی؟\n19۔ اگر یہ کلمہ حرف ہے تو معانی ہے یا مبانی ؟\n20۔ معانی ہے تو حروف عاملہ و غیر عاملہ میں سے کیا ہے ؟\n21۔ اگر عاملہ میں سے ہے تو عاملہ افعال میں سے ہے یا عاملہ اسماء میں سے ؟\n21۔ اگر غیر عاملہ میں سے ہے تو حروف معانی میں سے کون سی قسم میں سے ہے ؟
